Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Segunda opción;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Realiza tareas diferentes puestos;Antigüedad AÑOS;Si no tenia experiencia previa en el ramo..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mi;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;Satisfacción Global
1;ZONA COSTANERA;TRABAJO;Colonia;Hotel;Sheraton;104;Mujer;34;Si;1;0;Uruguay;;99;Universitaria(Completa);UTU-Turismo;;Si;3;;100;Si;Otro;Lic NutriciÃ_n ÃÅrea Salud;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;40;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.12.;SupervisorPastelería/ Panadería   ;Generalmente no;2;99;NULL;Siempre quise;99;35000;7;99;5000;NULL;Tal vez Si;Tal vez Si;Tal vez Si;Tal vez Si;Trabajar independiente;Totalmente desacuerdo;Totalmente de acuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
2;ZONA COSTANERA;TRABAJO;Colonia;Hotel;Sheraton;104;Mujer;43;Si;0;0;Uruguay;;99;MediaCompleta;Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo exceoto noche;NULL;1;40;99;99;Si;99;99;No;No;12;Habitaciones Recepción;12.2.;Recepcionista       ;Generalmente no;6;99;NULL;No encontre mejor opción;99;25500;6;99;NULL;1000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
4;INSTITUTO CAPACITACION ;INSTITUTO CAPACITACIÓN ;Montevideo;Restaurante;Lirium;99;Hombre;36;Si;2;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Verbal;Permanente;99;1;Si;1;99;Turno rotativo exceoto noche;NULL;2;20;2;99;Si;99;99;No;Si;21;AyB Banquete/Eventos;23.3;Mozo   ;Si, todos los niveles;6;99;NULL;No sabe;99;NULL;NULL;99;NULL;99;DefinitivamanteSi;NULL;NULL;NULL;Trabajar independiente;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
5;POCITOS;TRABAJO;Montevideo;Restaurante;Fellini;14;Mujer;26;No;0;3;Uruguay;;2017;Posgrado(Completo);Ninguno;99;Si;3;;20;Si;Otro;Mercado de capitales;Escrito;Permanente;99;1;Si;2;99;Turno fijo nocturno;NULL;1;36;3;99;Si;99;99;No;Si;6;Compras - apoyo;6.4.;Jefe de compras     ;Si, de nivel superior;1;99;NULL;Siempre quise;99;NULL;4;99;NULL;99;Tal vez Si;NULL;NULL;NULL;Trabajo acorde formacion;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo
6;ZONA COSTANERA;TRABAJO;Colonia;Hotel;Sheraton;104;Hombre;35;Si;0;0;Uruguay;;99;TenicaSuperior(Completa);UTU-Turismo;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;40;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.16.;Chef       ;Generalmente no;3;99;NULL;Siempre quise;99;45000;8;99;5000;1000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
7;CIUDAD VIEJA;TRABAJO;Montevideo;Hotel;Don Boutique Hotel;21;Mujer;31;No;0;1;Uruguay;;2011;TerciariaNoUniversitaria(FormacionDocente)Completa;Ninguno;99;Si;3;;100;No;99;99;Verbal;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;5;Gerencia general - apoyo;5.1.;Secretaría de Gerencia general    ;Si, de nivel superior;1;99;NULL;Siempre quise;99;45000;8;99;NULL;99;DefinitivamanteSi;DefinitivamanteSi;Tal vez Si;DefinitivamanteSi;Tabajar menos horas;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo
8;CIUDAD VIEJA;TRABAJO;Montevideo;Restaurante;El Ceibo;22;Mujer;32;No;0;4;Uruguay;;1999;MediaCompleta;Ninguno;99;No;99;;99;Si;NULL;NULL;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;24;1;99;Si;99;99;No;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, de nivel superior;1;99;NULL;Otro;NULL;11367;1;99;6000;NULL;DefinitivamenteNo;DefinitivamanteSi;Tal vez No;DefinitivamenteNo;Trabajar independiente;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
9;CARRASCO;TRABAJO;Montevideo;Hotel;Howard Johnson;83;Mujer;33;Si;5;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;Si;3;;30;Si;Otro;Empleada;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;No;17;Habitaciones Ama de llaves;17.2.;Mucama       ;Si, mismo nivel;1;99;NULL;Siempre quise;99;NULL;2;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;NULL;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
10;CIUDAD VIEJA;TRABAJO;Montevideo;Hotel;Hotel Don Boutique;21;Mujer;36;Si;1;1;OtroPais;Cuba;2016;Universitaria(Completa);Hoteleria(Kolping);99;Si;3;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;48;99;99;Si;99;99;No;No;12;Habitaciones Recepción;12.2.;Recepcionista       ;Generalmente no;1;99;NULL;Siempre quise;99;20000;4;99;500;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
11;PRADO;TRABAJO;Montevideo;Restaurante;Don AndrÃ©s;25;Mujer;24;Si;0;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;Si;3;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;50;99;99;Si;99;99;No;No;8;Contabilidad y finanzas - apoyo;8.2.;Cajero       ;Si, todos los niveles;2;99;NULL;Siempre quise;99;NULL;5;99;450;250;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
